zygGene,RNA
F58G11.11,121.574
H32C10.97,192.18
F29G9.17,46.47
WBGene00206464,27.88
WBGene00206519,71.376
WBGene00219217,47.636
WBGene00219728,27.594
WBGene00219816,27.126
WBGene00235158,38.59
WBGene00235256,34.008
